route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color
881,GTT_E,1068,Torino - Condove,,3,http://www.5t.torino.it/5t/it/trasporto/linea-dettaglio.jsp?codlinea=881,0080FF
882,GTT_E,1085,Torino (Cap. vari) - Fiat Rivalta,,3,http://www.5t.torino.it/5t/it/trasporto/linea-dettaglio.jsp?codlinea=882,0080FF
895,GTT_E,1086,Rivoli - Reano - Trana,,3,http://www.5t.torino.it/5t/it/trasporto/linea-dettaglio.jsp?codlinea=895,0080FF
896,GTT_E,1087,Rivoli - Buttigliera - Avigliana,,3,http://www.5t.torino.it/5t/it/trasporto/linea-dettaglio.jsp?codlinea=896,0080FF
844,GTT_E,1091,Torino - Rubiana,,3,http://www.5t.torino.it/5t/it/trasporto/linea-dettaglio.jsp?codlinea=844,0080FF
967,GTT_E,1099,Servizio Atipico Chiusa San Michele - Condove,,3,http://www.5t.torino.it/5t/it/trasporto/linea-dettaglio.jsp?codlinea=967,0080FF
873,GTT_E,1117,Collegno - Sito Fiat Rivalta,,3,http://www.5t.torino.it/5t/it/trasporto/linea-dettaglio.jsp?codlinea=873,0080FF
720,GTT_E,1221,Servizio scuolabus comune di Caprie,,3,http://www.5t.torino.it/5t/it/trasporto/linea-dettaglio.jsp?codlinea=720,0080FF
905,GTT_E,1510,Torino - Orbassano - Cumiana,,3,http://www.5t.torino.it/5t/it/trasporto/linea-dettaglio.jsp?codlinea=905,0080FF
915,GTT_E,1511,Torino - Orbassano - Giaveno,,3,http://www.5t.torino.it/5t/it/trasporto/linea-dettaglio.jsp?codlinea=915,0080FF
906,GTT_E,1514,Servizio operaio Fiat Mirafiori (Cumiana),,3,http://www.5t.torino.it/5t/it/trasporto/linea-dettaglio.jsp?codlinea=906,0080FF
1006,GTT_E,1800,Servizio Navetta - Fiat Mirafiori - Agap Grugliasco,,3,http://www.5t.torino.it/5t/it/trasporto/linea-dettaglio.jsp?codlinea=1006,0080FF
898,GTT_E,2009,Autolinea delle Langhe (Dir. Grinzane - Sinio),,3,http://www.5t.torino.it/5t/it/trasporto/linea-dettaglio.jsp?codlinea=898,0080FF
869,GTT_E,2014,Torino - Poirino - Alba,,3,http://www.5t.torino.it/5t/it/trasporto/linea-dettaglio.jsp?codlinea=869,0080FF
848,GTT_E,2016,Canale - Sommariva - Racconigi,,3,http://www.5t.torino.it/5t/it/trasporto/linea-dettaglio.jsp?codlinea=848,0080FF
908,GTT_E,2027,Canale - S.Damiano - Asti,,3,http://www.5t.torino.it/5t/it/trasporto/linea-dettaglio.jsp?codlinea=908,0080FF
875,GTT_E,2073,Linea operaia - Borgo Aje - Cambiano - Santena - Villastellone - Carmagnola,,3,http://www.5t.torino.it/5t/it/trasporto/linea-dettaglio.jsp?codlinea=875,0080FF
909,GTT_E,2075,Trofarello - Fiat Rivalta,,3,http://www.5t.torino.it/5t/it/trasporto/linea-dettaglio.jsp?codlinea=909,0080FF
683,GTT_E,2103,Navetta Trofarello Movicentro - Moncalieri,,3,http://www.5t.torino.it/5t/it/trasporto/linea-dettaglio.jsp?codlinea=683,0080FF
910,GTT_E,2172,Autolinea delle Langhe (Dir. Monforte - Dogliani),,3,http://www.5t.torino.it/5t/it/trasporto/linea-dettaglio.jsp?codlinea=910,0080FF
982,GTT_E,2183,Canale - Fossano,,3,http://www.5t.torino.it/5t/it/trasporto/linea-dettaglio.jsp?codlinea=982,0080FF
857,GTT_E,3006,Torino - Settimo - Vallecerrina - Casale,,3,http://www.5t.torino.it/5t/it/trasporto/linea-dettaglio.jsp?codlinea=857,0080FF
858,GTT_E,3023,Vallecerrina - Asti,,3,http://www.5t.torino.it/5t/it/trasporto/linea-dettaglio.jsp?codlinea=858,0080FF
843,GTT_E,3092,Torino - Forno,,3,http://www.5t.torino.it/5t/it/trasporto/linea-dettaglio.jsp?codlinea=843,0080FF
904,GTT_E,3096,Gassino - Sciolze,,3,http://www.5t.torino.it/5t/it/trasporto/linea-dettaglio.jsp?codlinea=904,0080FF
999,GTT_E,3105,Chivasso - Asti,,3,http://www.5t.torino.it/5t/it/trasporto/linea-dettaglio.jsp?codlinea=999,0080FF
716,GTT_E,3106,Crescentino - Chivasso - Torino FCA,,3,http://www.5t.torino.it/5t/it/trasporto/linea-dettaglio.jsp?codlinea=716,0080FF
859,GTT_E,3107,Torino - Gassino - Chivasso - Piova' Massaia,,3,http://www.5t.torino.it/5t/it/trasporto/linea-dettaglio.jsp?codlinea=859,0080FF
930,GTT_E,3121,Castagneto Po - Chivasso,,3,http://www.5t.torino.it/5t/it/trasporto/linea-dettaglio.jsp?codlinea=930,0080FF
862,GTT_E,3131,Torino - Rivarolo,,3,http://www.5t.torino.it/5t/it/trasporto/linea-dettaglio.jsp?codlinea=862,0080FF
1007,GTT_E,3132,Rivarolo - Castellamonte,,3,http://www.5t.torino.it/5t/it/trasporto/linea-dettaglio.jsp?codlinea=1007,0080FF
876,GTT_E,3133,Torino - Ivrea,,3,http://www.5t.torino.it/5t/it/trasporto/linea-dettaglio.jsp?codlinea=876,0080FF
850,GTT_E,3160,Lanzo - Viu' - Usseglio,,3,http://www.5t.torino.it/5t/it/trasporto/linea-dettaglio.jsp?codlinea=850,0080FF
851,GTT_E,3165,Torino - Cirie',,3,http://www.5t.torino.it/5t/it/trasporto/linea-dettaglio.jsp?codlinea=851,0080FF
877,GTT_E,3166,Torino - Volpiano - San Benigno,,3,http://www.5t.torino.it/5t/it/trasporto/linea-dettaglio.jsp?codlinea=877,0080FF
899,GTT_E,3316,Chivasso F.S. - Rondissone,,3,http://www.5t.torino.it/5t/it/trasporto/linea-dettaglio.jsp?codlinea=899,0080FF
878,GTT_E,3321,Montalenghe - Foglizzo - Chivasso,,3,http://www.5t.torino.it/5t/it/trasporto/linea-dettaglio.jsp?codlinea=878,0080FF
921,GTT_E,3329,Cirie' - Torino (Fiat Mirafiori),,3,http://www.5t.torino.it/5t/it/trasporto/linea-dettaglio.jsp?codlinea=921,0080FF
931,GTT_E,3381,Cuorgne' - Caselle (Alenia),,3,http://www.5t.torino.it/5t/it/trasporto/linea-dettaglio.jsp?codlinea=931,0080FF
863,GTT_E,3382,Torino (C.so Marche) - Caselle ALENIA,,3,http://www.5t.torino.it/5t/it/trasporto/linea-dettaglio.jsp?codlinea=863,0080FF
886,GTT_E,3428,Servizio Scuolabus Comune di Rivarossa,,3,http://www.5t.torino.it/5t/it/trasporto/linea-dettaglio.jsp?codlinea=886,0080FF
900,GTT_E,3429,Servizio Scuolabus San Benigno - Volpiano - Chivasso,,3,http://www.5t.torino.it/5t/it/trasporto/linea-dettaglio.jsp?codlinea=900,0080FF
870,GTT_E,3502,Servizio Scuolabus San Maurizio - Castellamonte,,3,http://www.5t.torino.it/5t/it/trasporto/linea-dettaglio.jsp?codlinea=870,0080FF
901,GTT_E,3545,Linea operaia Carignano - Torino - Chivasso (P.I.Chi),,3,http://www.5t.torino.it/5t/it/trasporto/linea-dettaglio.jsp?codlinea=901,0080FF
760,GTT_E,3950,Servizio Scuolabus Comune di Verolengo,,3,http://www.5t.torino.it/5t/it/trasporto/linea-dettaglio.jsp?codlinea=760,0080FF
887,GTT_E,3970,Torino - Ceres - Sost. treno,,3,http://www.5t.torino.it/5t/it/trasporto/linea-dettaglio.jsp?codlinea=887,0080FF
751,GTT_E,3990,Torino - Reggia di Venaria,,3,http://www.5t.torino.it/5t/it/trasporto/linea-dettaglio.jsp?codlinea=751,0080FF
937,GTT_E,3991,Torino - Reggia di Venaria (Lunedi'-Venerdi'),,3,http://www.5t.torino.it/5t/it/trasporto/linea-dettaglio.jsp?codlinea=937,0080FF
852,GTT_E,4108,Ivrea - Vische - Chivasso,,3,http://www.5t.torino.it/5t/it/trasporto/linea-dettaglio.jsp?codlinea=852,0080FF
871,GTT_E,4147,Vialfre' - Castellamonte (Mercatale),,3,http://www.5t.torino.it/5t/it/trasporto/linea-dettaglio.jsp?codlinea=871,0080FF
879,GTT_E,4151,Cossano - Ivrea,,3,http://www.5t.torino.it/5t/it/trasporto/linea-dettaglio.jsp?codlinea=879,0080FF
902,GTT_E,4152,Silva - Vialfre' - Ivrea,,3,http://www.5t.torino.it/5t/it/trasporto/linea-dettaglio.jsp?codlinea=902,0080FF
911,GTT_E,5,Quassolo - Ivrea SL. (Linea 5),,3,http://www.5t.torino.it/5t/it/trasporto/linea-dettaglio.jsp?codlinea=911,FF8000
864,GTT_E,4154,S.Bernardo - Ivrea - Albiano,,3,http://www.5t.torino.it/5t/it/trasporto/linea-dettaglio.jsp?codlinea=864,0080FF
917,GTT_E,2,Samone - Ivrea - Burolo (Linea 2 2sb),,3,http://www.5t.torino.it/5t/it/trasporto/linea-dettaglio.jsp?codlinea=917,FF8000
