trip_id,arrival_time,departure_time,stop_id,stop_sequence
14113,15:17:00,15:17:00,57257001,17
14113,15:18:00,15:18:00,57256001,18
14113,15:19:00,15:19:00,51186008,19
42212,10:31:00,10:31:00,52136003,28
42212,10:32:00,10:32:00,52102004,29
42212,10:35:00,10:35:00,52035003,31
34934,12:26:00,12:26:00,50740024,19
34934,12:25:00,12:25:00,50828023,18
34934,12:07:00,12:07:00,57872003,6
70956,11:06:00,11:06:00,50886015,5
70956,11:12:00,11:12:00,50725016,10
70956,11:12:00,11:12:00,50703015,11
34835,08:03:00,08:03:00,50740024,19
34835,08:02:00,08:02:00,50828023,18
34835,07:44:00,07:44:00,57872003,6
38698,18:46:00,18:46:00,51808003,51
38698,18:45:00,18:45:00,51779004,50
38698,18:44:00,18:44:00,51687004,49
35648,08:38:00,08:38:00,51004010,36
35648,08:36:00,08:36:00,50989012,34
35648,08:34:00,08:34:00,50940009,32
70573,18:28:00,18:28:00,50548009,3
70573,18:29:00,18:29:00,57111001,4
70573,18:35:00,18:35:00,50487018,10
58348,18:42:00,18:42:00,51698006,7
58348,19:20:00,19:20:00,52208003,29
58348,19:12:00,19:12:00,52246003,25
53588,05:12:00,05:12:00,51243009,11
53588,05:03:00,05:03:00,50837015,2
53588,05:04:00,05:04:00,57446001,3
29690,20:09:00,20:09:00,51996005,56
29690,20:06:00,20:06:00,57866001,53
29690,20:08:00,20:08:00,51924003,55
6232,16:14:00,16:14:00,52269003,6
6232,16:13:00,16:13:00,52336003,5
6232,16:12:00,16:12:00,52404007,4
14500,10:25:00,10:25:00,51760006,22
14500,10:12:00,10:12:00,53660002,14
14500,10:13:00,10:13:00,53649001,15
34934,12:28:00,12:28:00,50645017,20
34934,12:29:00,12:29:00,53752011,21
34934,12:12:00,12:12:00,56662003,9
42212,10:37:00,10:37:00,52077002,32
42212,10:39:00,10:39:00,51981002,33
42212,10:34:00,10:34:00,52065006,30
38565,20:15:00,20:15:00,53576003,11
38565,20:12:00,20:12:00,53261001,9
38565,20:03:00,20:03:00,54003002,3
38698,18:42:00,18:42:00,51552010,48
38698,18:41:00,18:41:00,51444005,47
38698,18:39:00,18:39:00,51338007,46
35648,08:31:00,08:31:00,50869013,30
35648,08:35:00,08:35:00,50982016,33
35648,08:33:00,08:33:00,50903011,31
38530,04:45:00,04:45:00,50505017,12
38530,04:39:00,04:39:00,50397018,5
38530,04:36:00,04:36:00,50363024,2
34835,08:05:00,08:05:00,50645017,20
34835,08:06:00,08:06:00,53752011,21
34835,07:49:00,07:49:00,56662003,9
14113,15:29:00,15:29:00,50822017,26
14113,15:32:00,15:32:00,50847017,28
14113,15:21:00,15:21:00,51108007,20
70956,11:09:00,11:09:00,52307006,7
70956,11:07:00,11:07:00,57796001,6
70956,11:05:00,11:05:00,50985011,4
70573,18:37:00,18:37:00,50444017,12
70573,18:35:00,18:35:00,50469009,11
70573,18:38:00,18:38:00,54657001,14
58348,19:16:00,19:16:00,52257005,27
58348,19:21:00,19:21:00,52171002,30
58348,19:14:00,19:14:00,52280003,26
6232,16:11:00,16:11:00,52483004,3
6232,16:10:00,16:10:00,54757002,2
6232,16:19:00,16:19:00,52244004,11
29690,20:07:00,20:07:00,51923004,54
29690,20:00:00,20:00:00,51734008,48
29690,19:52:00,19:52:00,51315006,43
53588,05:04:00,05:04:00,50870017,4
53588,05:06:00,05:06:00,50940009,5
53588,05:07:00,05:07:00,50982016,6
14500,10:14:00,10:14:00,57459001,16
14500,10:16:00,10:16:00,53634001,17
14500,10:18:00,10:18:00,51641006,18
42212,10:30:00,10:30:00,52173004,27
42212,10:16:00,10:16:00,51796008,18
42212,10:24:00,10:24:00,54565002,24
34934,12:06:00,12:06:00,57871004,5
34934,12:09:00,12:09:00,52146006,7
34934,12:23:00,12:23:00,50980017,17
35648,08:30:00,08:30:00,50829018,29
35648,08:37:00,08:37:00,51000007,35
35648,08:30:00,08:30:00,50806016,28
38530,04:38:00,04:38:00,50386019,4
38530,04:42:00,04:42:00,50429009,9
38530,04:40:00,04:40:00,50407018,6
14113,15:25:00,15:25:00,50929015,21
14113,15:28:00,15:28:00,50832014,25
14113,15:33:00,15:33:00,50821013,30
34835,07:43:00,07:43:00,57871004,5
34835,07:46:00,07:46:00,52146006,7
34835,08:00:00,08:00:00,50980017,17
38565,20:02:00,20:02:00,54010001,2
38565,20:08:00,20:08:00,53258001,5
38565,20:11:00,20:11:00,53259001,8
38698,18:38:00,18:38:00,51281010,45
38698,17:31:00,17:31:00,52480004,8
38698,17:34:00,17:34:00,52424002,9
70956,11:03:00,11:03:00,51131006,2
70956,11:11:00,11:11:00,50805012,9
70956,11:03:00,11:03:00,51069009,3
70573,18:33:00,18:33:00,53800001,9
70573,18:37:00,18:37:00,50425024,13
70573,18:27:00,18:27:00,50573012,2
6232,16:20:00,16:20:00,52236003,12
6232,16:21:00,16:21:00,52199002,13
6232,16:17:00,16:17:00,52210003,9
58348,19:24:00,19:24:00,52215003,32
58348,19:23:00,19:23:00,52169002,31
58348,19:17:00,19:17:00,52239003,28
57642,14:13:00,14:13:00,50928011,5
57642,14:11:00,14:11:00,50829018,3
57642,14:10:00,14:10:00,50806016,2
71643,13:59:00,13:59:00,52379003,11
71643,13:56:00,13:56:00,52335003,9
71643,14:02:00,14:02:00,52423003,13
29690,19:58:00,19:58:00,51603008,46
29690,19:54:00,19:54:00,51420009,44
29690,19:56:00,19:56:00,57190001,45
24016,08:48:00,08:48:00,52661003,13
24016,08:50:00,08:50:00,52717001,14
24016,09:01:00,09:01:00,52895001,23
6236,18:58:00,18:58:00,52269003,6
6236,18:57:00,18:57:00,52336003,5
6236,18:56:00,18:56:00,52404007,4
6232,16:24:00,16:24:00,52083002,17
6232,16:22:00,16:22:00,52155002,14
6232,16:28:00,16:28:00,52191003,21
5551,12:18:00,12:18:00,52259003,15
5551,12:20:00,12:20:00,52253003,16
5551,12:07:00,12:07:00,53842001,7
34835,07:53:00,07:53:00,51856009,12
34835,07:47:00,07:47:00,56663007,8
34835,07:59:00,07:59:00,51150012,16
14113,15:29:00,15:29:00,56966001,27
14113,15:26:00,15:26:00,50913011,22
14113,15:27:00,15:27:00,50854010,24
6232,16:28:00,16:28:00,52198005,22
6232,16:15:00,16:15:00,52225004,7
6232,16:16:00,16:16:00,52144002,8
38698,17:37:00,17:37:00,52266003,10
38698,17:39:00,17:39:00,52228003,11
38698,17:41:00,17:41:00,52127002,12
24016,08:57:00,08:57:00,52883001,20
24016,08:56:00,08:56:00,52861001,19
