"#","appeal_matrix","code","fattore_scelta","list_raggiungibili","location","name","out_edges","popolazione","popolazione_old","stop_raggiungibili","vicini_geo"
"0","[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]] as matrix","6666","[0.0001,0.0001,0.0001,0.0001,0.0001,0.0001]","[]","{49.5,34.20999999999913,0.0}","'Rivoli'","[115 as wedge,429 as wedge]","0","1","[0 as bus_stop,1 as bus_stop,3 as bus_stop,4 as bus_stop,5 as bus_stop,6 as bus_stop,22 as bus_stop,429 as bus_stop]","[0 as bus_stop,82 as bus_stop,167 as bus_stop,204 as bus_stop,216 as bus_stop,245 as bus_stop,346 as bus_stop]"
"1","[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]] as matrix","6668","[1.0001,1.0001,1.0001,1.0001,1.0001,1.0001]","[]","{62.3799999999992,34.95999999999913,0.0}","'Bernini'","[90 as wedge,377 as wedge]","2","0","[0 as bus_stop,1 as bus_stop,3 as bus_stop,4 as bus_stop,5 as bus_stop,6 as bus_stop,22 as bus_stop,429 as bus_stop]","[1 as bus_stop,35 as bus_stop,109 as bus_stop,165 as bus_stop,219 as bus_stop,279 as bus_stop,379 as bus_stop,391 as bus_stop]"
"2","[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]] as matrix","6671","[1.0001,1.0001,1.0001,1.0001,1.0001,1.0001]","[]","{72.96999999999935,26.5,0.0}","'Porta Susa'","[]","0","0","[2 as bus_stop]","[2 as bus_stop,423 as bus_stop,424 as bus_stop]"
"3","[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]] as matrix","6664","[1.0001,1.0001,1.0001,1.0001,1.0001,1.0001]","[]","{32.76000000000022,33.2699999999968,0.0}","'Pozzo Strada'","[132 as wedge,396 as wedge]","1","0","[0 as bus_stop,1 as bus_stop,3 as bus_stop,4 as bus_stop,5 as bus_stop,6 as bus_stop,22 as bus_stop,429 as bus_stop]","[3 as bus_stop,278 as bus_stop,409 as bus_stop]"
"4","[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]] as matrix","6665","[1.0001,1.0001,1.0001,1.0001,1.0001,1.0001]","[]","{40.79999999999927,33.73999999999796,0.0}","'Monte Grappa'","[107 as wedge,214 as wedge]","2","0","[0 as bus_stop,1 as bus_stop,3 as bus_stop,4 as bus_stop,5 as bus_stop,6 as bus_stop,22 as bus_stop,429 as bus_stop]","[4 as bus_stop,207 as bus_stop,217 as bus_stop,348 as bus_stop,374 as bus_stop]"
"5","[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]] as matrix","6662","[1.0001,1.0001,1.0001,1.0001,1.0001,1.0001]","[]","{16.75,32.30000000000291,0.0}","'Marche'","[38 as wedge]","1","0","[0 as bus_stop,1 as bus_stop,3 as bus_stop,4 as bus_stop,5 as bus_stop,6 as bus_stop,22 as bus_stop,429 as bus_stop]","[5 as bus_stop,14 as bus_stop,16 as bus_stop]"
"6","[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]] as matrix","6663","[0.0001,0.0001,0.0001,0.0001,0.0001,0.0001]","[]","{22.700000000000728,32.68000000000029,0.0}","'Massaua'","[172 as wedge,391 as wedge]","0","1","[0 as bus_stop,1 as bus_stop,3 as bus_stop,4 as bus_stop,5 as bus_stop,6 as bus_stop,22 as bus_stop,429 as bus_stop]","[6 as bus_stop,15 as bus_stop,73 as bus_stop,76 as bus_stop,88 as bus_stop,209 as bus_stop,226 as bus_stop,310 as bus_stop,355 as bus_stop]"
"7","[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[1,1,1,94,94,94,94,94,1,1],[1,1,1,15,15,15,15,15,1,1],[1,1,1,18,18,18,18,18,1,1],[1,1,1,18,18,18,18,18,1,1]] as matrix","462","[0.0001,0.0001,0.00043548946571786,0.00043548946571786,0.00043548946571786,0.00043548946571786]","[]","{71.29999999999927,39.13999999999942,0.0}","'Schina'","[120 as wedge]","0","8","[7 as bus_stop,293 as bus_stop]","[7 as bus_stop,12 as bus_stop]"
"8","[[2,2,2,2,2,2,2,1,1,1],[2,2,2,2,2,2,2,1,1,1],[2,2,2,2,2,2,2,1,1,1],[385,87,87,151,108,108,65,1,1,1],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]] as matrix","458","[1.0001,1.0001,1.0001,1.0001,1.0001,1.0001]","[]","{63.48999999999978,43.06999999999971,0.0}","'Maria Vittoria'","[434 as wedge]","7","0","[7 as bus_stop,8 as bus_stop,9 as bus_stop,293 as bus_stop]","[8 as bus_stop,10 as bus_stop,137 as bus_stop,268 as bus_stop,328 as bus_stop,402 as bus_stop,418 as bus_stop]"
"9","[[2,2,2,2,2,2,2,1,1,1],[385,87,87,151,108,108,65,1,1,1],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[1,1,1,94,94,94,94,94,1,1],[1,1,1,15,15,15,15,15,1,1]] as matrix","460","[0.00043548946571786,0.00043548946571786,0.0001,0.0001,0.00043548946571786,0.00043548946571786]","[]","{67.31999999999971,41.13999999999942,0.0}","'Collegno'","[340 as wedge]","0","8","[7 as bus_stop,9 as bus_stop,293 as bus_stop]","[9 as bus_stop,11 as bus_stop]"
