"#","arrivo","avg_penality","avg_score","btw","fascia_btwn","location","name","partenza","penality","peso","popolazione","popolazione_old","saturation_index","score"
"0","374 as bus_stop","[1.0,0.8999999999999999,1.0,1.0]","[0.00014325446243247,0.00014325446243247,0.00014325446243247,0.00014325446243247]","57.5","0","{39.10999999999967,30.24499999999898,0.0}","'wedge0'","197 as bus_stop","1.0","376","5","3","0","0.00033426041234243"
"1","35 as bus_stop","[0.7,1.0,1.0,0.7999999999999998]","[0.00541252729799204,0.00541252729799204,0.00541252729799204,0.00541252729799204]","2172.5","0","{62.69999999999982,31.375,0.0}","'wedge1'","33 as bus_stop","1.0","1404","21","29","0","0.01262923036198142"
"2","62 as bus_stop","[1.0,0.6,0.7,1.0]","[0.00026657786922216,0.00026657786922216,0.00026657786922216,0.00026657786922216]","107.0","0","{51.899999999999636,17.020000000000437,0.0}","'wedge2'","60 as bus_stop","1.0","604","3","2","0","0.00062201502818505"
"3","159 as bus_stop","[0.19999999999999996,1.0,1.0,0.9999999999999999]","[0.00082464742721996,0.00082464742721996,0.00082464742721996,0.00082464742721996]","331.0","0","{60.93499999999949,27.284999999999854,0.0}","'wedge3'","34 as bus_stop","1.0","733","1","3","0","0.00192417733017991"
"4","385 as bus_stop","[0.9999999999999999,1.0,0.7999999999999999,1.0]","[0.00005979316692834,0.00005979316692834,0.00005979316692834,0.00005979316692834]","24.0","0","{62.13500000000022,47.10499999999956,0.0}","'wedge4'","63 as bus_stop","1.0","368","1","1","0","0.00013951738949945"
"5","122 as bus_stop","[1.0,1.0,1.0,1.0]","[0.00021799592109289,0.00021799592109289,0.00021799592109289,0.00021799592109289]","87.5","0","{47.02000000000044,11.280000000002474,0.0}","'wedge5'","232 as bus_stop","1.0","406","2","5","0","0.00050865714921674"
"6","8 as bus_stop","[1.0,1.0,1.0,0.9999999999999999]","[0.00042727200534206,0.00042727200534206,0.00042727200534206,0.00042727200534206]","171.5","0","{63.30999999999949,42.19499999999971,0.0}","'wedge6'","418 as bus_stop","1.0","560","4","6","0","0.00099696801246482"
"7","261 as bus_stop","[1.0,0.7,0.6999999999999998,1.0]","[0.00015321999025386,0.00015321999025386,0.00015321999025386,0.00015321999025386]","61.5","0","{40.61499999999978,35.13999999999942,0.0}","'wedge7'","374 as bus_stop","1.0","376","5","3","0","0.00035751331059234"
"8","409 as bus_stop","[0.0,0.6,0.0,0.4]","[0.0508562664853681,0.05027502585869049,0.05027502585869049,0.0529623102783562]","4341.0","1","{30.789999999999964,33.0,0.0}","'wedge8'","347 as bus_stop","1.0","33","33","46","4","0.11730839367027784"
"9","353 as bus_stop","[1.0,0.7,1.0,0.8999999999999999]","[0.01502178749976663,0.01502178749976663,0.01502178749976663,0.01502178749976663]","6029.5","2","{44.50500000000011,23.18500000000131,0.0}","'wedge9'","341 as bus_stop","1.0","858","17","32","0","0.03505083749945545"
"10","132 as bus_stop","[1.0,1.0,0.30000000000000004,1.0]","[0.00044222029707415,0.00044222029707415,0.00044222029707415,0.00044222029707415]","177.5","0","{25.0649999999996,19.150000000001455,0.0}","'wedge10'","432 as bus_stop","1.0","620","1","1","0","0.00103184735983968"
