"#","arrivo","avg_penality","avg_score","btw","fascia_btwn","location","name","partenza","penality","peso","popolazione","popolazione_old","saturation_index","score"
"0","374 as bus_stop","[0.5,1.0,0.30000000000000004,1.0]","[0.3690794306841235,0.48331830208635224,0.5565483478570117,0.33832281146044646]","57.5","0","{39.10999999999967,30.24499999999898,0.0}","'wedge0'","197 as bus_stop","1.0","376","4","4","0","0.41008825631569273"
"1","35 as bus_stop","[0.5,0.30000000000000004,0.4,1.0]","[6.939336986398348,7.976305898671756,8.708573045253452,5.553435406961852]","2172.5","0","{62.69999999999982,31.375,0.0}","'wedge1'","33 as bus_stop","1.0","1404","19","31","0","10.664561799209928"
"2","62 as bus_stop","[0.5999999999999999,1.0,1.0,0.5999999999999999]","[0.2179766544016031,0.2540058534762482,0.3044467321807514,0.18555037523442242]","107.0","0","{51.899999999999636,17.020000000000437,0.0}","'wedge2'","60 as bus_stop","1.0","604","3","2","0","0.25220439352251595"
"3","159 as bus_stop","[1.0,0.29999999999999993,1.0,1.0]","[0.48822381706789153,0.5984679047928992,0.6325910748030209,0.38060458857443163]","331.0","0","{60.93499999999949,27.284999999999854,0.0}","'wedge3'","34 as bus_stop","1.0","733","6","3","0","0.5512204386250389"
"4","385 as bus_stop","[1.0,1.0,1.0,0.7]","[0.12587271717395293,0.15433089670893366,0.1499527152420135,0.09522544690551223]","24.0","0","{62.13500000000022,47.10499999999956,0.0}","'wedge4'","63 as bus_stop","1.0","368","4","0","0","0.0"
"5","122 as bus_stop","[1.0,1.0,1.0,1.0]","[0.42957554635520384,0.5036983857262977,0.5441290253832579,0.34197582709845636]","87.5","0","{47.02000000000044,11.280000000002474,0.0}","'wedge5'","232 as bus_stop","1.0","406","6","6","0","0.7075361939968061"
"6","8 as bus_stop","[0.8999999999999999,1.0,1.0,1.0]","[0.6303608746724407,0.9550283485839989,1.070981017838127,0.6746337120240171]","171.5","0","{63.30999999999949,42.19499999999971,0.0}","'wedge6'","418 as bus_stop","1.0","560","3","12","0","1.7709134940630449"
"7","261 as bus_stop","[1.0,0.8999999999999999,0.7999999999999999,1.0]","[0.47330614269219506,0.542205138147388,0.6365668058360219,0.39991373448992434]","61.5","0","{40.61499999999978,35.13999999999942,0.0}","'wedge7'","374 as bus_stop","1.0","376","10","4","0","0.4193851897272614"
"8","409 as bus_stop","[0.0,0.0,0.0,0.0]","[0.179780897024842,0.00596487914723904,0.00682297594129775,0.0182060800555321]","4341.0","1","{30.789999999999964,33.0,0.0}","'wedge8'","347 as bus_stop","1.0","33","30","35","3","0.05066623953499078"
"9","353 as bus_stop","[0.0,0.4,0.1,0.5]","[13.122322907969027,16.54103334978201,18.440316928567,12.017285189403214]","6029.5","2","{44.50500000000011,23.18500000000131,0.0}","'wedge9'","341 as bus_stop","1.0","858","29","40","0","19.338160074901726"
"10","132 as bus_stop","[1.0,1.0,1.0,0.6]","[0.2942898104192973,0.45209738991950016,0.43930218077083516,0.3006874149936299]","177.5","0","{25.0649999999996,19.150000000001455,0.0}","'wedge10'","432 as bus_stop","1.0","620","0","6","0","0.8956646404065569"
"11","20 as bus_stop","[1.0,1.0,1.0,1.0]","[0.1426642108938606,0.15851578988206738,0.15499321677357697,0.0933481873749952]","100.0","0","{67.64499999999953,57.36000000000058,0.0}","'wedge11'","301 as bus_stop","1.0","884","1","3","0","0.36987017639149056"
